,end_to_end_latency,throughput,cpu_usage,number_of_streams,number_of_users,ping,bandwidth,instantiation_time,time_to_connect,time_to_deploy_new_instance,mem_usage
0,5718.087,1.56E+11,11213.08,7425.427,9680.359,7120126,15462666,7.240413,9850.208,9175.438,1.29E+23
1,3230.168,1.85E+12,21130.63,12649.21,8052.298,20757859,4522003,10.99966,10969.55,5166.584,9.62E+21
2,7557.772,8.50E+10,13804.15,9134.78,1246.713,10789524,6069516,11.99167,4253.499,12130.24,3.23E+19
3,6555.19,1.19E+12,7549.844,2475.142,5177.525,799551,22386859,11.5076,5478.19,10540.52,2.02E+22
4,3201.372,5.79E+11,32745.77,1545.255,14579.21,312290.9,58242944,8.458106,6334.158,5132.025,9.17E+19
5,2945.008,1.88E+11,31539.59,8628.811,7553.613,9662967,15798182,7.311333,9797.533,4717.316,1.72E+21
6,8522.357,3.71E+11,25195.93,10269.79,12569.8,13649081,14539432,11.31451,9191.771,13685.4,2.93E+23
7,2601.58,5.81E+09,18182.17,3473.404,10296.38,1577449,27371862,7.890666,4661.729,4164.37,2.17E+20
8,9473.312,2.68E+09,43378.1,1066.636,2170.747,152624.3,53399127,12.49659,5728.396,15240.56,8.30E+21
9,2066.127,5.18E+10,18226.84,8027.119,9607.023,8333765,12513346,8.350259,5306.997,3317.673,1.49E+22
10,4271.986,4.34E+11,34800.76,7917.721,1877.403,8140013,47199958,11.26315,3845.268,6842.7,9.04E+20
12,7946.98,7.22E+10,5494.857,4075.096,1173.377,2170594,6456384,8.341817,12668.32,12752.3,8.12E+19
13,2303.209,1.63E+11,9738.852,7069.882,1261.38,6494938,10007231,7.682757,11641.15,3697.823,2.29E+16
14,8893.424,1.10E+11,491.41,12621.86,6864.254,20688717,16275108,8.471061,7598.355,14290.18,1.98E+22
15,1615.359,9.82E+11,1831.619,4772.512,4253.491,2989339,18122407,10.07281,12879.01,2574.652,5.05E+19
16,1832.23,1.72E+12,12776.66,4499.016,8858.995,2619731,5898971,7.72202,9310.29,2920.243,3.36E+21
17,6836.457,5.81E+11,34220,4526.365,352.013,2683847,33106037,6.729092,3542.388,10972.51,5.45E+22
18,5743.626,5.11E+10,8532.664,8437.364,8888.329,9233258,11471081,10.47739,10192.59,9227.277,6.05E+18
19,8765.673,2.62E+11,20460.52,9025.381,8682.988,10525245,40348699,7.61711,8520.166,14100.11,8.45E+22
20,6189.914,1.74E+11,4914.1,4416.967,4092.152,2524351,3258667,10.36003,11127.57,9935.738,1.10E+21
21,2048.712,1.42E+12,25508.64,7329.704,10413.72,7004977,47930451,11.09254,11654.32,3265.834,8.20E+20
22,212.1997,2.11E+12,4065.301,11473.17,11968.44,17053459,3953622,9.806903,11404.12,328.3113,5.87E+21
23,9547.265,2.92E+10,13134.05,6440.84,3916.145,5380179,5646115,7.465658,7032.1,15326.96,6.27E+19
24,6090.566,8.88E+11,30869.48,8601.462,484.0179,9562819,13184804,11.5562,6162.964,9780.222,5.71E+22
25,1190.054,4.84E+11,39000.08,12936.38,11073.74,21636408,16425275,9.220957,4714.404,1900.75,1.60E+23
26,3122.985,2.01E+10,43556.79,5975.896,6497.574,4610945,36998298,5.515359,8875.722,5011.068,2.51E+22
27,8632.977,1.54E+12,13714.81,12758.61,968.0359,21014418,9322931,9.932327,6268.314,13875.47,2.51E+22
28,4330.2,1.64E+12,29305.9,382.895,13523.17,20861.8,45456194,10.65104,5991.771,6946.377,4.28E+22
29,6039.862,1.37E+10,2144.334,1558.929,11704.43,318522.9,10116742,8.252959,10811.52,9693.824,1.19E+20
30,4559.608,7.44E+09,12329.92,0,13552.5,122.918,15930556,10.45498,447.7367,7309.247,5.07E+21
31,2145.26,3.32E+09,6254.309,11418.47,9240.342,16873682,6428286,10.78248,6571.195,3438.629,3.99E+21
32,6549.807,1.20E+12,7951.907,4977.634,6673.581,3202671,8099008,11.04344,7334.981,10505.96,1.34E+23
33,1897.192,3.55E+11,39089.43,5155.407,7890.959,3462169,18055257,5.639189,11167.08,3023.92,3.62E+19
